festival_code,theme_code,theme_tag
F0001,CA06,복합문화예술
F0002,NE01,꽃·식물
F0002,NE04,계절·자연경관
F0003,CA03,빛·미디어아트
F0004,CA03,빛·미디어아트
F0005,CA06,복합문화예술
F0006,CA06,복합문화예술
F0007,CC05,지역상권·마켓
F0008,CA06,복합문화예술
F0009,CA01,음악·공연
F0010,CA01,음악·공연
F0011,CC01,주민화합·마을
F0012,CA06,복합문화예술
F0013,CA06,복합문화예술
F0014,CA06,복합문화예술
F0015,CA03,빛·미디어아트
F0016,NE01,꽃·식물
F0017,CA06,복합문화예술
F0018,CA06,복합문화예술
F0019,HT02,전통문화·민속
F0020,CA06,복합문화예술
F0021,NE01,꽃·식물
F0022,CA06,복합문화예술
F0023,CA03,빛·미디어아트
F0024,HT01,역사인물·사건
F0025,CA06,복합문화예술
F0026,CC02,먹거리·야시장
F0027,CA01,음악·공연
F0028,HT01,역사인물·사건
F0029,CA06,복합문화예술
F0030,NE01,꽃·식물
F0031,CA06,복합문화예술
F0032,CC02,먹거리·야시장
F0033,CA06,복합문화예술
F0034,CA06,복합문화예술
F0035,HT02,전통문화·민속
F0036,CA06,복합문화예술
F0037,CC01,주민화합·마을
F0038,CA01,음악·공연
F0039,NE01,꽃·식물
F0040,CA06,복합문화예술
F0041,NE01,꽃·식물
F0041,NE02,숲·산·걷기
F0042,CC04,가족·어린이
F0043,CA06,복합문화예술
F0044,CA03,빛·미디어아트
F0044,CA05,문학·책
F0045,CC02,먹거리·야시장
F0046,CA06,복합문화예술
F0047,HT01,역사인물·사건
F0047,HT02,전통문화·민속
F0048,CA06,복합문화예술
F0049,CA02,미술·공예·디자인
F0050,CA06,복합문화예술
F0051,CC05,지역상권·마켓
F0052,CA06,복합문화예술
F0053,CA06,복합문화예술
F0054,CA06,복합문화예술
F0055,CA01,음악·공연
F0056,CA06,복합문화예술
F0057,CA06,복합문화예술
F0058,CA01,음악·공연
F0059,HT02,전통문화·민속
F0060,CA06,복합문화예술
F0061,CA06,복합문화예술
F0062,CC01,주민화합·마을
F0063,CC02,먹거리·야시장
F0064,CA06,복합문화예술
F0065,CA06,복합문화예술
F0066,CA02,미술·공예·디자인
F0067,CA06,복합문화예술
F0068,CA06,복합문화예술
F0069,CA06,복합문화예술
F0070,CA01,음악·공연
F0071,CA06,복합문화예술
F0072,CA06,복합문화예술
F0073,CA06,복합문화예술
F0074,CC01,주민화합·마을
F0075,HT01,역사인물·사건
F0076,HT03,문화유산
F0077,HT02,전통문화·민속
F0078,NE02,숲·산·걷기
F0079,CA06,복합문화예술
F0080,CA06,복합문화예술
F0081,LS05,주류·차·음료
F0082,LS02,수산물·해산물
F0083,CA03,빛·미디어아트
F0084,LS02,수산물·해산물
F0085,CA06,복합문화예술
F0086,NE03,강·바다·수변
F0087,CA06,복합문화예술
F0088,CA04,영화·영상·콘텐츠
F0089,CA06,복합문화예술
F0090,CA06,복합문화예술
F0091,NE01,꽃·식물
F0092,CA03,빛·미디어아트
F0093,CA06,복합문화예술
F0094,CA06,복합문화예술
F0095,CA06,복합문화예술
F0096,HT01,역사인물·사건
F0096,HT03,문화유산
F0097,CA03,빛·미디어아트
F0098,CA06,복합문화예술
F0099,CA06,복합문화예술
F0100,CA06,복합문화예술
F0101,CA06,복합문화예술
F0102,HT02,전통문화·민속
F0103,NE03,강·바다·수변
F0104,CA06,복합문화예술
F0105,CA03,빛·미디어아트
F0106,CA06,복합문화예술
F0107,CA06,복합문화예술
F0108,HT02,전통문화·민속
F0109,CA04,영화·영상·콘텐츠
F0110,CA02,미술·공예·디자인
F0111,CA06,복합문화예술
F0112,CA01,음악·공연
F0113,HT03,문화유산
F0114,CA06,복합문화예술
F0115,HT03,문화유산
F0116,LS01,농산물·과일
F0117,NE01,꽃·식물
F0117,NE03,강·바다·수변
F0118,LS02,수산물·해산물
F0119,HT02,전통문화·민속
F0120,CA06,복합문화예술
F0121,CA06,복합문화예술
F0122,CA06,복합문화예술
F0123,CA06,복합문화예술
F0124,CA01,음악·공연
F0125,CA06,복합문화예술
F0126,LS02,수산물·해산물
F0127,LS02,수산물·해산물
F0128,LS02,수산물·해산물
F0129,LS03,축산물
F0129,LS04,음식·향토먹거리
F0130,CA06,복합문화예술
F0131,CA01,음악·공연
F0132,CA01,음악·공연
F0133,HT02,전통문화·민속
F0134,HT02,전통문화·민속
F0135,LS05,주류·차·음료
F0136,HT02,전통문화·민속
F0137,CA06,복합문화예술
F0138,CA06,복합문화예술
F0139,CA06,복합문화예술
F0140,CA02,미술·공예·디자인
F0141,CA06,복합문화예술
F0142,HT02,전통문화·민속
F0143,HT02,전통문화·민속
F0144,NE01,꽃·식물
F0144,NE02,숲·산·걷기
F0145,NE04,계절·자연경관
F0146,NE04,계절·자연경관
F0146,NE02,숲·산·걷기
F0147,HT02,전통문화·민속
F0148,CA06,복합문화예술
F0149,CA06,복합문화예술
F0150,CA01,음악·공연
F0151,CA06,복합문화예술
F0152,CA06,복합문화예술
F0153,CC02,먹거리·야시장
F0154,CA03,빛·미디어아트
F0155,NE01,꽃·식물
F0156,CC01,주민화합·마을
F0157,HT03,문화유산
F0158,CA06,복합문화예술
F0159,CA06,복합문화예술
F0160,CA06,복합문화예술
F0161,CA06,복합문화예술
F0162,CA06,복합문화예술
F0163,CA01,음악·공연
F0164,LS04,음식·향토먹거리
F0165,CA06,복합문화예술
F0166,CA06,복합문화예술
F0167,CA06,복합문화예술
F0168,HT02,전통문화·민속
F0169,NE01,꽃·식물
F0169,NE03,강·바다·수변
F0170,HT01,역사인물·사건
F0171,CA01,음악·공연
F0172,LS01,농산물·과일
F0173,LS06,특산품·공예
F0174,CA06,복합문화예술
F0175,CC01,주민화합·마을
F0176,CC01,주민화합·마을
F0177,CA06,복합문화예술
F0178,CA06,복합문화예술
F0179,CC01,주민화합·마을
F0180,CC01,주민화합·마을
F0181,HT03,문화유산
F0182,CC01,주민화합·마을
F0183,NE03,강·바다·수변
F0184,CA01,음악·공연
F0185,CC03,스포츠·레저
F0186,CA06,복합문화예술
F0187,NE03,강·바다·수변
F0187,NE04,계절·자연경관
F0188,CA02,미술·공예·디자인
F0189,CA02,미술·공예·디자인
F0190,CA06,복합문화예술
F0191,CA02,미술·공예·디자인
F0192,CA06,복합문화예술
F0193,LS04,음식·향토먹거리
F0193,LS02,수산물·해산물
F0194,CC02,먹거리·야시장
F0195,CC05,지역상권·마켓
F0196,CA06,복합문화예술
F0197,HT03,문화유산
F0198,CA06,복합문화예술
F0199,CA06,복합문화예술
F0200,CA01,음악·공연
F0201,NE01,꽃·식물
F0201,NE04,계절·자연경관
F0202,CC02,먹거리·야시장
F0203,HT02,전통문화·민속
F0204,CA05,문학·책
F0205,CA06,복합문화예술
F0206,CA01,음악·공연
F0207,CA06,복합문화예술
F0208,CA06,복합문화예술
F0209,CC01,주민화합·마을
F0210,CA06,복합문화예술
F0211,CA05,문학·책
F0211,CA03,빛·미디어아트
F0212,CC01,주민화합·마을
F0213,CA06,복합문화예술
F0214,CA02,미술·공예·디자인
F0215,HT03,문화유산
F0216,CA06,복합문화예술
F0217,CA02,미술·공예·디자인
F0218,CC01,주민화합·마을
F0219,NE03,강·바다·수변
F0220,CA06,복합문화예술
F0221,CA01,음악·공연
F0222,CA06,복합문화예술
F0223,NE01,꽃·식물
F0224,CA03,빛·미디어아트
F0225,CA06,복합문화예술
F0226,NE01,꽃·식물
F0226,NE02,숲·산·걷기
F0227,CA06,복합문화예술
F0228,CA06,복합문화예술
F0229,HT03,문화유산
F0230,CC01,주민화합·마을
F0231,NE01,꽃·식물
F0231,NE02,숲·산·걷기
F0232,NE01,꽃·식물
F0232,NE04,계절·자연경관
F0233,NE01,꽃·식물
F0233,NE05,생태·환경
F0234,NE01,꽃·식물
F0234,NE03,강·바다·수변
F0235,NE01,꽃·식물
F0235,NE04,계절·자연경관
F0236,CA06,복합문화예술
F0237,CA06,복합문화예술
F0238,CA01,음악·공연
F0239,CA06,복합문화예술
F0240,CA01,음악·공연
F0241,LS04,음식·향토먹거리
F0242,HT02,전통문화·민속
F0243,CA01,음악·공연
F0244,CC01,주민화합·마을
F0245,CC03,스포츠·레저
F0246,CA06,복합문화예술
F0247,CA06,복합문화예술
F0248,CA06,복합문화예술
F0249,NE01,꽃·식물
F0250,CA06,복합문화예술
F0251,CA06,복합문화예술
F0252,CA04,영화·영상·콘텐츠
F0253,CC01,주민화합·마을
F0254,CA06,복합문화예술
F0255,LS03,축산물
F0255,LS04,음식·향토먹거리
F0256,LS01,농산물·과일
F0257,NE03,강·바다·수변
F0258,CA06,복합문화예술
F0259,CA04,영화·영상·콘텐츠
F0260,HT02,전통문화·민속
F0261,LS01,농산물·과일
F0261,LS06,특산품·공예
F0262,CC01,주민화합·마을
F0263,CA05,문학·책
F0264,LS01,농산물·과일
F0265,CA06,복합문화예술
F0266,CA01,음악·공연
F0267,NE01,꽃·식물
F0267,NE02,숲·산·걷기
F0268,CA01,음악·공연
F0269,HT03,문화유산
F0270,CA01,음악·공연
F0271,HT01,역사인물·사건
F0271,HT02,전통문화·민속
F0272,CA03,빛·미디어아트
F0272,CA02,미술·공예·디자인
F0273,CA03,빛·미디어아트
F0274,CC01,주민화합·마을
F0275,CC01,주민화합·마을
F0276,CC04,가족·어린이
F0277,HT02,전통문화·민속
F0277,HT01,역사인물·사건
F0278,CC01,주민화합·마을
F0279,CC01,주민화합·마을
F0280,CA06,복합문화예술
F0281,CA02,미술·공예·디자인
F0282,CA06,복합문화예술
F0283,CC01,주민화합·마을
F0284,CA04,영화·영상·콘텐츠
F0285,CA04,영화·영상·콘텐츠
F0286,CA04,영화·영상·콘텐츠
F0287,CA04,영화·영상·콘텐츠
F0288,CA06,복합문화예술
F0289,CA06,복합문화예술
F0290,CC02,먹거리·야시장
F0291,CA06,복합문화예술
F0292,NE01,꽃·식물
F0292,NE02,숲·산·걷기
F0293,NE01,꽃·식물
F0293,NE02,숲·산·걷기
F0294,HT01,역사인물·사건
F0294,HT02,전통문화·민속
F0295,NE02,숲·산·걷기
F0296,NE05,생태·환경
F0296,NE02,숲·산·걷기
F0297,CA06,복합문화예술
F0298,CA06,복합문화예술
F0299,CA06,복합문화예술
F0300,HT01,역사인물·사건
F0301,LS01,농산물·과일
F0302,CA06,복합문화예술
F0303,CA06,복합문화예술
F0304,NE01,꽃·식물
F0305,CA06,복합문화예술
F0306,CA06,복합문화예술
F0307,CC01,주민화합·마을
F0308,CA06,복합문화예술
F0309,CA01,음악·공연
F0310,CC01,주민화합·마을
F0311,CA06,복합문화예술
F0312,CA06,복합문화예술
F0313,NE03,강·바다·수변
F0314,HT02,전통문화·민속
F0315,CC01,주민화합·마을
F0316,CA05,문학·책
F0317,CA06,복합문화예술
F0318,CA04,영화·영상·콘텐츠
F0319,CA03,빛·미디어아트
F0320,CA06,복합문화예술
F0321,CA06,복합문화예술
F0322,HT02,전통문화·민속
F0323,CC05,지역상권·마켓
F0324,CA06,복합문화예술
F0325,LS01,농산물·과일
F0326,LS01,농산물·과일
F0327,CC01,주민화합·마을
F0328,CA06,복합문화예술
F0329,CA06,복합문화예술
F0330,CA01,음악·공연
F0331,CA06,복합문화예술
F0332,CA06,복합문화예술
F0333,CA05,문학·책
F0334,CC01,주민화합·마을
F0335,CC02,먹거리·야시장
F0336,LS04,음식·향토먹거리
F0337,HT02,전통문화·민속
F0337,HT03,문화유산
F0338,HT01,역사인물·사건
F0339,LS01,농산물·과일
F0340,HT02,전통문화·민속
F0340,HT03,문화유산
F0341,HT01,역사인물·사건
F0342,HT03,문화유산
F0343,NE03,강·바다·수변
F0344,CC01,주민화합·마을
F0345,CA06,복합문화예술
F0346,CA03,빛·미디어아트
F0347,NE01,꽃·식물
F0347,NE04,계절·자연경관
F0348,CA06,복합문화예술
F0349,CC01,주민화합·마을
F0350,CA03,빛·미디어아트
F0351,CA06,복합문화예술
F0352,CC01,주민화합·마을
F0353,NE01,꽃·식물
F0354,CA02,미술·공예·디자인
F0355,CC01,주민화합·마을
F0356,LS01,농산물·과일
F0357,LS01,농산물·과일
F0358,CC01,주민화합·마을
F0359,LS01,농산물·과일
F0360,NE01,꽃·식물
F0360,NE02,숲·산·걷기
F0361,CA06,복합문화예술
F0362,CA06,복합문화예술
F0363,CA03,빛·미디어아트
F0364,HT02,전통문화·민속
F0365,LS01,농산물·과일
F0366,HT02,전통문화·민속
F0367,CA06,복합문화예술
F0368,CA06,복합문화예술
F0369,CA06,복합문화예술
F0370,CA03,빛·미디어아트
F0371,LS06,특산품·공예
F0372,CA06,복합문화예술
F0373,CA06,복합문화예술
F0374,CA06,복합문화예술
F0375,NE01,꽃·식물
F0375,NE03,강·바다·수변
F0376,NE01,꽃·식물
F0376,NE04,계절·자연경관
F0377,CA06,복합문화예술
F0378,CA06,복합문화예술
F0379,CC01,주민화합·마을
F0380,LS03,축산물
F0381,LS01,농산물·과일
F0381,LS06,특산품·공예
F0382,LS01,농산물·과일
F0383,CC01,주민화합·마을
F0384,CA06,복합문화예술
F0385,CA04,영화·영상·콘텐츠
F0386,CC01,주민화합·마을
F0387,CC03,스포츠·레저
F0388,LS01,농산물·과일
F0389,LS01,농산물·과일
F0390,LS01,농산물·과일
F0391,LS04,음식·향토먹거리
F0392,LS03,축산물
F0393,LS06,특산품·공예
F0394,CC01,주민화합·마을
F0395,NE03,강·바다·수변
F0396,CA06,복합문화예술
F0397,NE03,강·바다·수변
F0397,NE01,꽃·식물
F0398,CC01,주민화합·마을
F0399,LS06,특산품·공예
F0400,HT02,전통문화·민속
F0401,CC01,주민화합·마을
F0402,LS01,농산물·과일
F0403,CA06,복합문화예술
F0404,CA06,복합문화예술
F0405,CA06,복합문화예술
F0406,CA06,복합문화예술
F0407,CA01,음악·공연
F0408,CA06,복합문화예술
F0409,CA06,복합문화예술
F0410,CA01,음악·공연
F0411,CA01,음악·공연
F0412,HT02,전통문화·민속
F0413,NE01,꽃·식물
F0413,NE03,강·바다·수변
F0414,NE03,강·바다·수변
F0415,NE03,강·바다·수변
F0416,NE01,꽃·식물
F0416,NE03,강·바다·수변
F0417,LS01,농산물·과일
F0417,LS06,특산품·공예
F0418,LS04,음식·향토먹거리
F0418,LS03,축산물
F0419,CA06,복합문화예술
F0420,CA06,복합문화예술
F0421,CA01,음악·공연
F0422,CA06,복합문화예술
F0423,CA01,음악·공연
F0424,HT01,역사인물·사건
F0425,CA01,음악·공연
F0426,CA02,미술·공예·디자인
F0427,CA04,영화·영상·콘텐츠
F0428,CA01,음악·공연
F0429,CA01,음악·공연
F0430,CA06,복합문화예술
F0431,CA01,음악·공연
F0432,CA06,복합문화예술
F0433,CA01,음악·공연
F0434,CA06,복합문화예술
F0435,CA06,복합문화예술
F0436,CA06,복합문화예술
F0437,LS03,축산물
F0438,CA05,문학·책
F0439,CA06,복합문화예술
F0440,CA04,영화·영상·콘텐츠
F0441,CA06,복합문화예술
F0442,LS01,농산물·과일
F0443,CA03,빛·미디어아트
F0444,CA03,빛·미디어아트
F0445,CA06,복합문화예술
F0446,CA06,복합문화예술
F0447,NE01,꽃·식물
F0448,NE01,꽃·식물
F0449,CC01,주민화합·마을
F0450,CC01,주민화합·마을
F0451,CC05,지역상권·마켓
F0452,CC01,주민화합·마을
F0453,CC01,주민화합·마을
F0454,CC01,주민화합·마을
F0455,LS04,음식·향토먹거리
F0456,CC02,먹거리·야시장
F0456,CC05,지역상권·마켓
F0457,LS03,축산물
F0458,CA06,복합문화예술
F0459,LS01,농산물·과일
F0460,LS01,농산물·과일
F0461,LS01,농산물·과일
F0462,HT02,전통문화·민속
F0463,NE01,꽃·식물
F0464,NE01,꽃·식물
F0465,NE01,꽃·식물
F0465,NE02,숲·산·걷기
F0466,CA06,복합문화예술
F0467,HT02,전통문화·민속
F0468,CA06,복합문화예술
F0469,CA01,음악·공연
F0470,CA06,복합문화예술
F0471,NE03,강·바다·수변
F0472,HT03,문화유산
F0473,LS04,음식·향토먹거리
F0474,CC02,먹거리·야시장
F0475,CC01,주민화합·마을
F0476,CC01,주민화합·마을
F0477,CA06,복합문화예술
F0478,CA06,복합문화예술
F0479,CC01,주민화합·마을
F0480,NE01,꽃·식물
F0480,NE03,강·바다·수변
F0481,NE01,꽃·식물
F0482,CC02,먹거리·야시장
F0483,CC01,주민화합·마을
F0484,CC01,주민화합·마을
F0485,NE02,숲·산·걷기
F0486,NE03,강·바다·수변
F0487,LS01,농산물·과일
F0487,LS06,특산품·공예
F0488,LS04,음식·향토먹거리
F0489,NE01,꽃·식물
F0490,HT02,전통문화·민속
F0491,CA06,복합문화예술
F0492,CA06,복합문화예술
F0493,CA06,복합문화예술
F0494,HT02,전통문화·민속
F0495,NE01,꽃·식물
F0496,LS01,농산물·과일
