festival_code,festival_name,sido,sigungu,festival_type,first_year,venue
F0001,2026 서울무형문화축제,서울,중구,문화예술,2005,남산골한옥마을 일대
F0002,제25회 서울억새축제,서울,마포구,자연생태,2002,월드컵공원(하늘공원)
F0003,2026 서울라이트 한강 빛섬축제,서울,용산구,문화예술,2023,노들섬
F0004,2026 서울라이트 광화문,서울,종로구,문화예술,2022,"광화문, 광화문광장"
F0005,2026년 30회 서울세계도시문화축제,서울,중구,문화예술,1996,동대문디자인플라자
F0006,한강페스티벌,서울,,문화예술,2013,한강 수상 및 11개 한강공원 일대
F0007,2026 로맨틱 한강 크리스마스 마켓,서울,광진구,주민화합,2023,뚝섬한강공원 일원
F0008,2026 차없는 잠수교 뚜벅뚜벅 축제,서울,서초구,문화예술,2022,잠수교 및 반포한강공원 일원
F0009,2026 한강 서래섬 피크닉 콘서트(봄),서울,서초구,문화예술,2004,반포한강공원 서래섬
F0010,2026 한강 서래섬 피크닉 콘서트(가을),서울,서초구,문화예술,2004,반포한강공원 서래섬
F0011,제20회 서울안전한마당,서울,영등포구,주민화합,2007,여의도공원
F0012,2026 서울윈터페스타,서울,,문화예술,2023,"종로구 일대(광화문광장, 청계천 등)"
F0013,서울스프링페스타 2026,서울,영등포구,문화예술,2022,주요 한강공원 등 한강 전역
F0014,2026 서울바비큐페스타,서울,마포구,문화예술,2025,노을공원
F0015,2026 한강 드론 라이트 쇼,서울,광진구,문화예술,2023,"한강공원(뚝섬, 잠실, 여의도)"
F0016,2026 서울국제정원박람회,서울,,자연생태,2015,"서울숲 일대, 매헌시민의숲"
F0017,2026 서울어린이정원 페스티벌,서울,광진구,문화예술,2025,서울어린이대공원
F0018,제4회 레드로드 페스티벌,서울,마포구,문화예술,2023,홍대 레드로드
F0019,제19회 마포나루 새우젓축제,서울,마포구,전통역사,2008,월드컵공원 평화광장
F0020,제31회 강동선사문화축제,서울,강동구,문화예술,1996,서울 암사동유적 일원
F0021,제18회 중랑 서울장미축제,서울,중랑구,자연생태,2009,중랑장미공원(묵동교~겸재교 중랑천 일원)
F0022,중랑 용마폭포축제,서울,중랑구,문화예술,2016,용마폭포공원
F0023,제16회 2026 서대문 봄빛축제,서울,서대문구,문화예술,2011,서대문 안산 ~ 홍제천 일원
F0024,제17회 2026 서대문 독립축제,서울,서대문구,전통역사,2010,"서대문형무소역사관, 독립공원"
F0025,2026 신촌글로벌대학문화축제,서울,서대문구,문화예술,2023,신촌 일대
F0026,관악 책빵 축제,서울,관악구,주민화합,2023,별빛내린천 일대
F0027,제 5회 그루브 인 관악,서울,관악구,문화예술,2022,관악아트홀
F0028,제 10회 관악강감찬축제,서울,관악구,전통역사,2016,낙성대공원 일대
F0029,2026 영등포 여의도 봄꽃축제,서울,영등포구,문화예술,2005,"여의서로 벚꽃길, 한강공원 국회축구장 등"
F0030,제3회 영등포 정원축제(정원소풍),서울,영등포구,자연생태,2024,영등포공원
F0031,제3회 영등포구 여름축제 대피서,서울,영등포구,문화예술,2024,영등포공원
F0032,제2회 영등포구 원조맥주축제,서울,영등포구,주민화합,2025,영등포공원
F0033,2026 영등포네트워크예술제,서울,영등포구,문화예술,2019,문래동 일대
F0034,제3회 영등포 선유도원축제,서울,영등포구,문화예술,2024,선유도공원 및 선유도역 2번 3번출구 걷고싶은 거리
F0035,제4회 주막거리객사전,서울,구로구,전통역사,2023,오류동역광장
F0036,제10회 프랑스문화축제,서울,구로구,문화예술,2005,안양천 생태초화원
F0037,구로G페스티벌,서울,구로구,주민화합,2003,안양천 오금교 일대
F0038,2026 서리풀뮤직페스티벌,서울,서초구,문화예술,2015,반포대로(서초3동사거리~서초역)
F0039,2026 송파구 벚꽃축제,서울,송파구,자연생태,2007,석촌호수
F0040,제26회 한성백제문화제,서울,송파구,문화예술,1994,올림픽공원
F0041,불암산 철쭉제,서울,노원구,자연생태,2021,불암산 힐링타운
F0042,노원구 어린이날 축제,서울,노원구,주민화합,2010,등나무·중계근린공원
F0043,경춘선 공릉숲길 커피축제,서울,노원구,문화예술,2023,공릉역 ~ 동부아파트 삼거리 + 경춘선 숲길
F0044,노원달빛산책,서울,노원구,문화예술,2014,당현천 일원(중계역 ~ 상계역 2km)
F0045,노원수제맥주축제,서울,노원구,주민화합,2023,화랑대 철도공원 일원
F0046,댄싱노원 거리페스티벌,서울,노원구,문화예술,2013,노원역 일원(롯데백화점 ~ 순복음교회 555m)
F0047,4·19혁명국민문화제 2026,서울,강북구,전통역사,2013,국립4·19민주묘지 및 강북구 일대
F0048,우이천변 페스타2026,서울,강북구,문화예술,2023,우이천 일대
F0049,제3회 공예문화축제,서울,강북구,문화예술,2024,강북문화예술회관
F0050,2026 강북 백맥축제,서울,강북구,문화예술,2023,강북구 일대
F0051,상권과 함께하는 크리스마스 마켓,서울,강북구,주민화합,2023,관내 상권지역 일대
F0052,2026년 이태원 지구촌 축제,서울,용산구,문화예술,2001,이태원관광특구 일원
F0053,제14회 자문밖문화축제,서울,종로구,문화예술,2013,자문밖 일원
F0054,2026 대학로 차 없는 거리 축제,서울,종로구,문화예술,1985,대학로 일원
F0055,2026 D.FESTA 대학로 거리공연축제,서울,종로구,문화예술,2006,대학로 일원
F0056,2026 대학로 소나무길 거리예술제,서울,종로구,문화예술,2017,대학로 일원
F0057,2026 아시테지 어린이가행복한대학로,서울,종로구,문화예술,1984,대학로 일원
F0058,서울연극제,서울,종로구,문화예술,1977,대학로 일원
F0059,인사동 엔틱&아트페어,서울,종로구,전통역사,1987,인사동 일대
F0060,2026 종로K축제,서울,종로구,문화예술,2016,광화문광장
F0061,제24회 허준축제,서울,강서구,문화예술,1999,"서울식물원, 마곡광장, 마곡중앙로"
F0062,동대문구 봄꽃축제,서울,동대문구,주민화합,2008,"장안1 수변공원, 장안벚꽃길 일대"
F0063,동대문구 맥주축제,서울,동대문구,주민화합,2024,장안1 수변공원 일대
F0064,동대문페스티벌,서울,동대문구,문화예술,2024,장한로 일대
F0065,2026 정동야행,서울,중구,문화예술,2015,정동 일대
F0066,제7회 가로수길 디자인위크,서울,강남구,문화예술,2020,가로수길 일대
F0067,제15회 강남페스티벌,서울,강남구,문화예술,2012,"코엑스, 영동대로 등 강남구 일대"
F0068,제9회 도심 속 바다축제,서울,동작구,문화예술,2012,노량진수산시장 및 노량진축구장일대
F0069,제30회 부산바다축제,부산,사하구,문화예술,1996,다대포해수욕장
F0070,2026 부산국제록페스티벌,부산,사상구,문화예술,2000,삼락생태공원
F0071,제11회 부산원도심활성화축제,부산,,문화예술,2016,원도심 일원
F0072,2026 부산밀페스티벌,부산,북구,문화예술,2024,화명생태공원
F0073,부산 시민의종 타종행사,부산,중구,문화예술,2000,용두산공원
F0074,제19회 부산항축제,부산,,주민화합,2008,북항 및 해양박물관 등
F0075,2026년 조선통신사 축제,부산,,전통역사,2003,미정(협의중)
F0076,2026 제11회 피란수도 부산 국가유산 야행,부산,중구,전통역사,2016,영도다리 등 피란유산 전역
F0077,2026 부산종합민속예술제,부산,부산진구,전통역사,2021,부산시민공원 다솜광장
F0078,제25회 부산과학축전,부산,해운대구,자연생태,2002,벡스코
F0079,2026년 부산 가든쇼,부산,사상구,문화예술,2025,삼락생태공원
F0080,2026년 광복로 연등문화제,부산,중구,문화예술,2014,광복로 일원
F0081,유라리건맥축제,부산,중구,지역특산물,2023,유라리광장 일원
F0082,제33회 부산자갈치축제,부산,중구,지역특산물,1992,자갈치시장 일원
F0083,광복로 겨울빛 트리축제,부산,중구,문화예술,2009,광복로 일원
F0084,제17회 부산고등어축제,부산,서구,지역특산물,2008,송도해수욕장
F0085,부산 서구 의료관광축제,부산,서구,문화예술,2022,송도오션파크
F0086,제2회 북항 해양레저 페스타,부산,동구,자연생태,2025,북항 경관수로 및 친수공원 일원
F0087,제23회 부산차이나타운 문화축제,부산,동구,문화예술,2004,"부산역, 초량 차이나타운 일원"
F0088,제4회 웹툰이바구길축제,부산,동구,문화예술,2023,"웹툰이바구길 일원, 동구 문화플랫폼 등"
F0089,제34회 영도다리축제,부산,영도구,문화예술,1993,아미르공원 일원
F0090,2026 글로벌 영도커피페스티벌,부산,영도구,문화예술,2019,아미르공원 일원
F0091,제15회 수국꽃 문화축제,부산,영도구,자연생태,2006,태종대 일원
F0092,서면 빛 축제,부산,부산진구,문화예술,2020,서면1번가 일원
F0093,전포커피축제,부산,부산진구,문화예술,2017,전포카페거리 일원
F0094,서면메디컬스트리트축제,부산,부산진구,문화예술,2011,서면메디컬스트리트 일원
F0095,비어로드 페스티벌,부산,부산진구,문화예술,2024,"서면, 전포 일원"
