위도,경도,주차구획수
34.71850658,126.1182438,45
35.08442336,126.1463951,10
35.10312424,126.0731098,23
35.06486049,126.0978592,14
35.0851880031,126.1093142102,47
35.08944146,126.1000631,35
35.08134595,126.1205451,23
35.306341,126.7872144,61
35.2575651,126.667916,80
35.255014,126.6712985,40
35.290362,126.773857,14
35.308833,126.7823457,36
35.3076845,126.780731,111
35.306385,126.7782039,91
35.304768,126.781813,33
35.304782,126.784783,19
35.2963679,126.779891,44
35.2990595,126.780276,17
35.2988123,126.7801853,17
35.3019544,126.7853338,23
35.302156,126.7858881,8
35.301712,126.785862,22
35.303253,126.783461,44
35.4084556,126.8827949,66
35.2983821,126.78566,40
35.4287627,126.808651,45
35.2622509,126.6709423,100
35.303654,126.7774371,176
35.2596035,126.6649489,19
35.2552671,126.6705351,61
35.2598357,126.664444,19
35.233274,126.647411,58
35.355578,126.817783,686
35.3077507,126.7780034,404
35.305611,126.7775439,68
35.303863,126.773391,41
35.293532,126.773771,74
35.301349,126.771936,119
35.309193,126.773881,76
35.291634,126.7733808,87
35.290318,126.773085,4
35.292402,126.7736492,40
35.2991425,126.778588,150
35.299331,126.777834,38
35.293558,126.7737874,66
35.298248,126.781721,13
35.299491,126.7844937,12
35.298928,126.780553,14
35.298634,126.782644,35
35.3050355,126.782358,43
35.304656,126.7858448,18
35.304097,126.785265,11
35.302337,126.783573,51
35.3035944,126.781947,33
35.3007945,126.782211,30
35.300739,126.781885,22
35.303183,126.784953,30
35.301656,126.782039,19
35.303775,126.791776,26
35.322341,126.7987888,44
35.3256786,126.804487,20
35.2978353,126.7809043,90
35.300521,126.7864105,20
35.300734,126.7840317,38
35.300841,126.784568,10
35.2999926,126.783481,18
35.3020275,126.7881162,22
35.302562,126.786661,12
35.3035645,126.786744,30
35.3015458,126.786946,20
35.299377,126.7878397,40
35.303114,126.787305,18
35.296696,126.7805508,40
35.296112,126.7838964,13
35.296421,126.781491,6
35.296126,126.781533,49
35.2965855,126.7822031,41
35.0622639,126.9920579,104
34.98983812,126.9610605,30
34.9256246674,126.8802201699,143
35.0643556743,126.9864854896,32
35.0595937834,126.9907601662,136
35.06254551,126.9869634,123
35.06074493,126.9844901,48
35.0587811607,126.9831929951,78
34.8896202742,126.9882652,31
35.0643556743,126.9864854896,64
34.61142136,127.2838712,87
34.60941784,127.283399,25
34.61150393,127.2820426,87
34.61315716,127.2887509,15
34.60677277,127.2799925,126
34.61208924,127.2880228,30
34.61062174,127.2898333,14
34.60873317,127.281383,21
34.60865106,127.2877186,15
34.60705316,127.2823201,50
34.60813121,127.2836712,50
34.60787691,127.2829757,70
34.60751613,127.2802136,16
34.5264722,127.1363653,114
34.607737877,127.2793039,126
34.60703826,127.2876192,197
34.6079028,127.288347,198
34.6056981373,127.2967971456,158
34.6056981373,127.2967971456,202
34.6056981373,127.2967971456,130
34.6056981373,127.2967971456,202
34.523269734,127.1463478212,245
34.52523869,127.1356871,120
34.5268354668,127.1348595175,60
34.5274425857,127.13278709,75
34.5274884055,127.1310267092,140
