sido_name,sigungu_name,area_cd,sigungu_cd
서울특별시,종로구,11,11110
서울특별시,중구,11,11140
서울특별시,용산구,11,11170
서울특별시,성동구,11,11200
서울특별시,광진구,11,11215
서울특별시,동대문구,11,11230
서울특별시,중랑구,11,11260
서울특별시,성북구,11,11290
서울특별시,강북구,11,11305
서울특별시,도봉구,11,11320
서울특별시,노원구,11,11350
서울특별시,은평구,11,11380
서울특별시,서대문구,11,11410
서울특별시,마포구,11,11440
서울특별시,양천구,11,11470
서울특별시,강서구,11,11500
서울특별시,구로구,11,11530
서울특별시,금천구,11,11545
서울특별시,영등포구,11,11560
서울특별시,동작구,11,11590
서울특별시,관악구,11,11620
서울특별시,서초구,11,11650
서울특별시,강남구,11,11680
서울특별시,송파구,11,11710
서울특별시,강동구,11,11740
전남광주통합특별시,목포시,12,12110
전남광주통합특별시,여수시,12,12130
전남광주통합특별시,순천시,12,12150
전남광주통합특별시,나주시,12,12170
전남광주통합특별시,광양시,12,12190
전남광주통합특별시,동구,12,12210
전남광주통합특별시,서구,12,12240
전남광주통합특별시,남구,12,12270
전남광주통합특별시,북구,12,12300
전남광주통합특별시,광산구,12,12330
전남광주통합특별시,담양군,12,12710
전남광주통합특별시,곡성군,12,12720
전남광주통합특별시,구례군,12,12730
전남광주통합특별시,고흥군,12,12740
전남광주통합특별시,보성군,12,12750
전남광주통합특별시,화순군,12,12760
전남광주통합특별시,장흥군,12,12770
전남광주통합특별시,강진군,12,12780
전남광주통합특별시,해남군,12,12790
전남광주통합특별시,영암군,12,12800
전남광주통합특별시,무안군,12,12810
전남광주통합특별시,함평군,12,12820
전남광주통합특별시,영광군,12,12830
전남광주통합특별시,장성군,12,12840
전남광주통합특별시,완도군,12,12850
전남광주통합특별시,진도군,12,12860
전남광주통합특별시,신안군,12,12870
부산광역시,중구,26,26110
부산광역시,서구,26,26140
부산광역시,동구,26,26170
부산광역시,영도구,26,26200
부산광역시,부산진구,26,26230
부산광역시,동래구,26,26260
부산광역시,남구,26,26290
부산광역시,북구,26,26320
부산광역시,해운대구,26,26350
부산광역시,사하구,26,26380
부산광역시,금정구,26,26410
부산광역시,강서구,26,26440
부산광역시,연제구,26,26470
부산광역시,수영구,26,26500
부산광역시,사상구,26,26530
부산광역시,기장군,26,26710
대구광역시,중구,27,27110
대구광역시,동구,27,27140
대구광역시,서구,27,27170
대구광역시,남구,27,27200
